Knesset_Num,Committee_Name,Committee_Protocol_Num,Date,Member_Name,Speaking_Times,Avg_Neutral,Avg_Positive,Avg_Negative
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אורי מקלב,2,0.999836653,0.000123466,3.99E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אופיר סופר,8,0.99865295,0.001277889,6.92E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,שלמה קרעי,15,0.957846419,0.037741154,0.004412435
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,פנינה תמנו,5,0.98986448,0.00904125,0.001094284
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,דוד ביטן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אבי גבאי,18,0.974129611,0.025158949,0.000711436
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,איתן גינזבורג,2,0.995612204,0.003327709,0.00106008
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,יעל גרמן,3,0.929721594,0.048566279,0.021712148
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,מאיר כהן,5,0.996140373,0.003794689,6.50E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,יוראי להב הרצנו,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,ע'דיר כמאל מריח,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אבי ניסנקורן,14,0.987074103,0.012856095,6.98E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אוסאמה סעדי,14,0.945954502,0.053815639,0.000229858
